OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
70842,222820651,10/9/2022 3:13:30 PM,10/9/2022 1:26:00 PM,10/9/2022 1:45:00 PM,Sunday,1,4,411,3000 STONE HOGAN CONN SW,Residence/ Home / Apartment / Condo,13B,Simple Assault,PERSON,N,,,Day Watch,-84.49377,33.673089,Greenbriar,R,11,Part II,1,bede2f07-a5cf-4167-b87b-7916c5f3677b,-84.49377,33.6730890000001
70843,222820673,10/9/2022 2:26:03 PM,10/9/2022 2:30:00 AM,10/9/2022 1:00:00 PM,Saturday,7,6,608,1232 VIRGINIA CT NE,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.344584,33.778516,Druid Hills,N,6,Part I,1,b871c1bb-2cfc-456a-bc06-4334eb1d6edb,-84.3445839999999,33.778516
70844,222820749,10/9/2022 3:30:33 PM,10/9/2022 2:35:00 PM,10/9/2022 2:50:00 PM,Sunday,1,6,603,443 ANGIER AVE NE,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Day Watch,-84.37276,33.766313,Old Fourth Ward,M,2,Part I,1,7f7beedc-feb7-41f0-b36e-af34e21b6181,-84.37276,33.766313
70845,222820789,10/9/2022 4:40:45 PM,10/9/2022 11:00:00 AM,10/9/2022 3:00:00 PM,Sunday,1,5,510,25 ELLIS ST NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.387079,33.758353,Downtown,M,2,Part I,1,b0293e7f-eb26-4a39-afa3-75981e7c2a42,-84.387079,33.7583530000001
70846,222820993,10/9/2022 7:11:38 PM,10/7/2022 11:00:00 PM,10/9/2022 6:00:00 PM,Friday,6,6,601,717 ELKMONT DR NE,Highway/ Road/ Alley/ Street/ Sidewalk,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.363849,33.78584,Virginia Highland,F,6,Part I,1,4fd42ed7-568c-4222-af13-2cb924fbfe50,-84.363849,33.7858400000001
70847,222821039,10/10/2022 12:38:10 AM,10/9/2022 5:00:00 AM,10/9/2022 6:00:00 PM,Sunday,1,3,301,1213 ALLENE AVE SW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Morning Watch,-84.413456,33.72178,Capitol View,X,12,Part I,1,16762e3f-ac6f-4f52-8bc5-df1383abd7e1,-84.4134559999999,33.72178
70848,222821151,10/10/2022 2:27:03 AM,10/9/2022 7:54:00 PM,10/9/2022 8:53:00 PM,Sunday,1,1,109,1024 ADA AVE NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.465032,33.782592,Almond Park,G,9,Part II,1,6bf62584-0813-490b-af35-47995c7499ed,-84.465032,33.7825920000001
70849,222821151,10/10/2022 2:27:03 AM,10/9/2022 7:54:00 PM,10/9/2022 8:53:00 PM,Sunday,1,1,109,1024 ADA AVE NW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Evening Watch,-84.465032,33.782592,Almond Park,G,9,Part I,1,d34af9ad-a929-44ba-a079-1d587693626c,-84.465032,33.7825920000001
70850,222821163,10/10/2022 1:31:10 AM,10/9/2022 7:58:00 PM,10/9/2022 8:30:00 PM,Sunday,1,5,505,904 MYRTLE ST NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.379939,33.779266,Midtown,E,2,Part II,1,37843366-3b55-4d03-a586-da88dc7579f7,-84.379939,33.7792660000001
70851,222821284,10/9/2022 10:16:54 PM,10/9/2022 9:17:00 PM,10/9/2022 10:22:00 PM,Sunday,1,1,104,229 NAPOLEON DR SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.42775,33.748446,Ashview Heights,T,4,Part I,1,08055129-6881-456b-b6c3-b965d8534443,-84.4277499999999,33.7484460000001
